token,경주빈도,전주빈도,빈도합,경주비율,전주비율
코스,447,459,906,49.337748%,50.662252%
추천,424,289,713,59.467041%,40.532959%
계획,151,64,215,70.232558%,29.767442%
곳,134,433,567,23.633157%,76.366843%
맛집,133,322,455,29.230769%,70.769231%
황리,132,0,132,100.000000%,0.000000%
길,127,0,127,100.000000%,0.000000%
숙소,126,61,187,67.379679%,32.620321%
일정,113,97,210,53.809524%,46.190476%
질문,98,90,188,52.127660%,47.872340%
부탁,90,61,151,59.602649%,40.397351%
지,90,5,95,94.736842%,5.263158%
답변,88,47,135,65.185185%,34.814815%
방문,87,10,97,89.690722%,10.309278%
차,80,61,141,56.737589%,43.262411%
가족,75,17,92,81.521739%,18.478261%
참고,68,43,111,61.261261%,38.738739%
카페,68,15,83,81.927711%,18.072289%
안녕,60,45,105,57.142857%,42.857143%
관련,58,32,90,64.444444%,35.555556%
불국사,57,0,57,100.000000%,0.000000%
첨성대,52,0,52,100.000000%,0.000000%
석굴암,50,0,50,100.000000%,0.000000%
월지,50,0,50,100.000000%,0.000000%
동궁,48,0,48,100.000000%,0.000000%
친구,48,75,123,39.024390%,60.975610%
관광지,45,27,72,62.500000%,37.500000%
엄마,45,0,45,100.000000%,0.000000%
아이,40,13,53,75.471698%,24.528302%
준비,40,30,70,57.142857%,42.857143%
택시,40,24,64,62.500000%,37.500000%
근처,35,30,65,53.846154%,46.153846%
때,35,15,50,70.000000%,30.000000%
버스,35,27,62,56.451613%,43.548387%
시간,35,25,60,58.333333%,41.666667%
정도,35,48,83,42.168675%,57.831325%
주,35,36,71,49.295775%,50.704225%
명소,34,32,66,51.515152%,48.484848%
날씨,32,1,33,96.969697%,3.030303%
대릉원,32,0,32,100.000000%,0.000000%
가능,30,35,65,46.153846%,53.846154%
동선,30,5,35,85.714286%,14.285714%
아들,30,0,30,100.000000%,0.000000%
야경,30,5,35,85.714286%,14.285714%
어머니,30,5,35,85.714286%,14.285714%
여자,30,15,45,66.666667%,33.333333%
예정,30,35,65,46.153846%,53.846154%
이번,30,45,75,40.000000%,60.000000%
분위기,28,0,28,100.000000%,0.000000%
아래,28,22,50,56.000000%,44.000000%
핫,28,0,28,100.000000%,0.000000%
도보,25,9,34,73.529412%,26.470588%
소개,25,0,25,100.000000%,0.000000%
식당,25,8,33,75.757576%,24.242424%
아빠,25,5,30,83.333333%,16.666667%
월드,25,0,25,100.000000%,0.000000%
이용,25,32,57,43.859649%,56.140351%
작품,25,0,25,100.000000%,0.000000%
장소,25,20,45,55.555556%,44.444444%
정보,25,29,54,46.296296%,53.703704%
특별,25,9,34,73.529412%,26.470588%
확인,25,10,35,71.428571%,28.571429%
비,24,5,29,82.758621%,17.241379%
플레이스,24,0,24,100.000000%,0.000000%
도움,21,25,46,45.652174%,54.347826%
문화,21,21,42,50.000000%,50.000000%
역사,21,5,26,80.769231%,19.230769%
가요,20,15,35,57.142857%,42.857143%
국립,20,5,25,80.000000%,20.000000%
다음,20,10,30,66.666667%,33.333333%
동안,20,5,25,80.000000%,20.000000%
루트,20,0,20,100.000000%,0.000000%
마음,20,0,20,100.000000%,0.000000%
무열왕릉,20,0,20,100.000000%,0.000000%
박물관,20,15,35,57.142857%,42.857143%
보문,20,0,20,100.000000%,0.000000%
시기,20,0,20,100.000000%,0.000000%
실패,20,0,20,100.000000%,0.000000%
예약,20,5,25,80.000000%,20.000000%
요금,20,2,22,90.909091%,9.090909%
인,20,19,39,51.282051%,48.717949%
전,20,285,305,6.557377%,93.442623%
주말,20,23,43,46.511628%,53.488372%
주요,20,2,22,90.909091%,9.090909%
첨부,20,7,27,74.074074%,25.925926%
추석,20,16,36,55.555556%,44.444444%
혼자,20,20,40,50.000000%,50.000000%
생각,18,10,28,64.285714%,35.714286%
채택,18,5,23,78.260870%,21.739130%
날,17,5,22,77.272727%,22.727273%
갈만,15,30,45,33.333333%,66.666667%
거리,15,20,35,42.857143%,57.142857%
